system:index,IDDIST,mean
000000000000000000c5,020305,0.004669849713298437
000000000000000000c7,020301,0.004364928670281639
000000000000000000cf,020303,0.004371883339885182
00000000000000000144,020304,0.0043602835729988874
00000000000000000244,020306,0.00446836373946935
00000000000000000246,020302,0.004420851738238032
0000000000000000010b,020402,0.006253846847091429
00000000000000000565,020401,0.006041978584243374
000000000000000000e6,020501,0.0053204236366076706
000000000000000000f1,020503,0.003991085153726731
000000000000000000f2,020505,0.005167933795686849
00000000000000000110,020504,0.00508329112754812
000000000000000002df,020507,0.002432414661797619
00000000000000000342,020509,0.005053971027502072
0000000000000000057e,020508,0.005061531521237316
000000000000000005a5,020502,0.00495159057835948
000000000000000005a9,020512,0.00493842671670961
000000000000000005ab,020511,0.005046614424301313
000000000000000005ad,020514,0.005150684705587964
000000000000000005b0,020510,0.004418700583566124
000000000000000005b1,020513,0.0050662506914258415
000000000000000005b2,020515,0.005316733079777455
000000000000000005c6,020506,0.004817473986405887
00000000000000000192,020611,0.0059685928243406365
00000000000000000281,020607,0.006219159233467528
00000000000000000284,020604,0.006109495705393408
00000000000000000285,020608,0.005822466197398036
00000000000000000289,020602,0.006468387962372048
0000000000000000028d,020610,0.006531935070037506
0000000000000000028e,020606,0.006158478227492849
0000000000000000028f,020605,0.006097928087635996
00000000000000000532,020609,0.006957763979426264
0000000000000000058b,020601,0.006285236100017734
0000000000000000058c,020603,0.006531935070037506
000000000000000000ce,020701,0.005608957998080214
00000000000000000331,020702,0.004930335874623332
00000000000000000534,020703,0.005431779622082094
00000000000000000157,020804,0.0018931841847779924
00000000000000000280,020803,3.277229427820528E-4
0000000000000000028b,020802,0.0010343730057881992
00000000000000000530,020801,5.710756534183729E-4
000000000000000000d2,020903,0.005249597392713453
000000000000000000fb,020901,0.005795599752192738
000000000000000000fd,020902,0.005548823908896218
000000000000000002f5,020907,0.005419442600059538
000000000000000005b7,020904,0.0053280911421866965
000000000000000005dc,020905,0.005732283852106411
000000000000000005dd,020906,0.00609615527818327
000000000000000000f9,021010,0.0045217269031364695
0000000000000000011a,021015,0.0045671555389093475
0000000000000000013f,021016,0.004372304859385477
00000000000000000143,021006,0.004631602146761905
00000000000000000154,021008,0.005153990898759326
00000000000000000245,021003,0.004826496290447584
00000000000000000282,021007,0.0048085356743074415
00000000000000000283,021012,0.0046721359875108726
00000000000000000286,021009,0.004792474776601389
00000000000000000287,021011,0.004486364894692013
0000000000000000028c,021005,0.004373252822913738
0000000000000000052e,021002,0.004387076874713629
0000000000000000058f,021013,0.0042835955634451086
00000000000000000590,021001,0.005184094778773445
00000000000000000591,021004,0.0050829751964139355
00000000000000000593,021014,0.004945615258544832
0000000000000000010e,021104,0.0036881665609388137
000000000000000002e1,021101,8.656513243769476E-4
00000000000000000581,021103,6.428835831378968E-4
000000000000000005c8,021102,0.004372828204471305
000000000000000005ce,021105,0.005196193584097769
000000000000000000cb,021203,0.0061176341169460954
000000000000000000cd,021206,0.004439520958872994
000000000000000000d1,021201,0.006841731361263533
00000000000000000292,021208,0.006840430989173589
00000000000000000336,021204,0.005967560463632898
