system:index,IDDIST,mean
0000000000000000013e,010603,12.818922303291663
0000000000000000022b,010604,14.233690964661756
0000000000000000022e,010605,13.466396651262714
00000000000000000239,010607,15.525500355701432
00000000000000000252,010612,13.838455665547349
0000000000000000060f,010601,16.41056486318525
00000000000000000611,010606,14.828170097013807
00000000000000000618,010602,15.601236308733247
0000000000000000061b,010611,15.710812281123935
0000000000000000062a,010608,15.833784564766429
00000000000000000653,010609,15.860549811765924
0000000000000000067c,010610,15.928187531125502
00000000000000000209,010705,15.491143110519449
0000000000000000025e,010706,18.984469094691004
00000000000000000264,010707,19.284108893939944
0000000000000000026c,010703,20.50524318295323
0000000000000000034c,010704,22.63781349282071
00000000000000000633,010701,17.97244730716881
00000000000000000687,010702,17.293953004509298
000000000000000000e1,020104,15.292030638002986
000000000000000000f3,020107,9.181130571836231
000000000000000000f5,020103,16.046964887058355
000000000000000000f6,020108,6.5639424628103935
000000000000000000f7,020109,17.870023025640055
00000000000000000118,020111,8.799046970853604
0000000000000000011b,020110,13.22366715664008
0000000000000000011c,020105,6.794574965849649
00000000000000000156,020102,16.02136940157925
00000000000000000158,020106,7.348397140305311
0000000000000000027b,020112,7.648500988109739
00000000000000000594,020101,6.473054070509126
00000000000000000112,020205,11.750944906587295
00000000000000000114,020203,10.208020570204067
00000000000000000115,020204,7.082652522953713
0000000000000000057c,020201,7.568303976158093
0000000000000000057f,020202,16.739926859468994
000000000000000000c5,020305,5.384637410468855
000000000000000000c7,020301,8.332536363779141
000000000000000000cf,020303,7.7638646527404305
00000000000000000144,020304,7.768851356601979
00000000000000000244,020306,8.304816698558787
00000000000000000246,020302,8.616686982300966
0000000000000000010b,020402,5.278381207856961
00000000000000000565,020401,4.359210312909604
000000000000000000e6,020501,6.946737009528974
000000000000000000f1,020503,17.108201821182387
000000000000000000f2,020505,8.637495521329434
00000000000000000110,020504,4.5973724194606085
000000000000000002df,020507,18.072863485531563
00000000000000000342,020509,6.956048319362143
0000000000000000057e,020508,3.6591604783158203
000000000000000005a5,020502,11.370338458165529
000000000000000005a9,020512,12.412153145866771
000000000000000005ab,020511,10.540860867646444
000000000000000005ad,020514,5.927839892940453
000000000000000005b0,020510,11.37856977453082
000000000000000005b1,020513,6.869893712801638
000000000000000005b2,020515,5.284825426996537
000000000000000005c6,020506,10.103052831452448
00000000000000000192,020611,7.089659547138228
00000000000000000281,020607,8.9107489914565
00000000000000000284,020604,6.7146363493034364
00000000000000000285,020608,5.414368958729188
00000000000000000289,020602,8.608999605922946
0000000000000000028d,020610,8.86072902077126
0000000000000000028e,020606,7.158094178565303
0000000000000000028f,020605,6.3534391376215
00000000000000000532,020609,7.6504178333800015
0000000000000000058b,020601,7.9026737577624635
0000000000000000058c,020603,8.86072902077126
000000000000000000ce,020701,6.575936640290538
00000000000000000331,020702,7.344488585548695
00000000000000000534,020703,9.498900736606387
00000000000000000157,020804,19.1315484070945
00000000000000000280,020803,19.822393327144027
0000000000000000028b,020802,19.75315254605308
00000000000000000530,020801,19.865061834871348
000000000000000000d2,020903,15.773501421243923
000000000000000000fb,020901,13.190501871744925
000000000000000000fd,020902,9.822699674361921
000000000000000002f5,020907,14.92987871155009
000000000000000005b7,020904,8.882421611731687
000000000000000005dc,020905,13.706152346796724
000000000000000005dd,020906,14.546635909043992
000000000000000000f9,021010,8.666602221464982
0000000000000000011a,021015,5.082344959058475
0000000000000000013f,021016,8.567651052551238
00000000000000000143,021006,7.259525059775405
00000000000000000154,021008,4.074954129592809
00000000000000000245,021003,7.2108705689495265
00000000000000000282,021007,7.745799899823883
00000000000000000283,021012,9.520907064266396
00000000000000000286,021009,8.780755774250407
00000000000000000287,021011,7.43761287775227
0000000000000000028c,021005,7.027442274329883
0000000000000000052e,021002,7.1848158977359375
0000000000000000058f,021013,6.105412944161353
00000000000000000590,021001,4.120102441648198
00000000000000000591,021004,3.7831442121264054
00000000000000000593,021014,4.2363681510501365
0000000000000000010e,021104,16.91972746153248
000000000000000002e1,021101,19.542803552544502
00000000000000000581,021103,20.0813453778858
000000000000000005c8,021102,15.613915893316841
000000000000000005ce,021105,14.070002473742296
000000000000000000cb,021203,9.212926751083666
000000000000000000cd,021206,11.623099157102478
000000000000000000d1,021201,10.234060124364639
00000000000000000292,021208,9.617051004311058
00000000000000000336,021204,9.737678393306684
00000000000000000533,021207,6.625213572901016
00000000000000000536,021205,9.832885424855109
000000000000000005d0,021209,7.420034975849147
000000000000000005d5,021202,10.483910835684332
000000000000000005d8,021210,9.282604044265588
00000000000000000293,021301,11.150097089160269
00000000000000000332,021305,11.48957355424662
00000000000000000334,021303,11.595482972244719
00000000000000000337,021308,11.519878377688922
00000000000000000535,021306,6.286072931300815
00000000000000000537,021307,6.921485336854939
000000000000000005d1,021302,9.51140176708572
000000000000000005d4,021304,10.264953187666665
000000000000000000f8,021404,14.547685908076817
000000000000000002dc,021409,18.662999231692385
000000000000000002dd,021405,18.83722124115697
000000000000000005a8,021406,12.996026046739987
000000000000000005aa,021401,10.770301225160278
000000000000000005ac,021403,6.431090911858634
000000000000000005bc,021402,15.811531206692948
000000000000000005be,021410,13.981678339952621
000000000000000005c2,021408,12.421195657985344
000000000000000005c3,021407,9.779383063206486
000000000000000000fa,021510,17.337248983125782
0000000000000000010d,021507,16.064786067438686
000000000000000002d1,021506,9.741403790263968
000000000000000002f4,021508,14.189900496575461
000000000000000002ff,021502,14.30325183244227
00000000000000000300,021504,11.793611430962535
00000000000000000301,021505,8.937837087382045
0000000000000000056a,021509,7.810479262951662
00000000000000000573,021503,6.010375146851379
000000000000000005b8,021511,13.866595410165473
000000000000000005ba,021501,9.974791024289491
000000000000000000d3,021603,10.34218634992551
00000000000000000333,021602,6.243110451029095
000000000000000005d6,021601,5.725077479960917
000000000000000005db,021604,9.228472393154007
000000000000000000e2,021701,6.778457890442878
000000000000000000e4,021710,6.086855051849029
0000000000000000033f,021707,10.317022303806512
00000000000000000340,021708,15.871070005189637
00000000000000000343,021706,13.861921666536837
00000000000000000539,021704,13.13794397737921
00000000000000000582,021702,5.723016024106357
00000000000000000599,021705,15.181035304508653
000000000000000005c7,021709,11.22832042616283
000000000000000005cd,021703,9.00919990854837
000000000000000000c4,021805,19.00751166845222
000000000000000000c6,021803,
000000000000000000c8,021809,19.804326313628128
000000000000000000cc,021806,19.624781315699646
000000000000000000d0,021808,19.649305289625204
00000000000000000335,021802,15.69753825313617
0000000000000000058e,021807,19.650725290138958
000000000000000005d9,021801,19.536311806452947
000000000000000005da,021804,14.571347756396012
0000000000000000010c,021901,8.402173946146815
000000000000000002f3,021902,8.860788557785007
000000000000000002f6,021910,7.9288820750784685
000000000000000002f8,021904,7.457843819268415
000000000000000002fc,021907,9.274438234544574
000000000000000002fd,021905,6.3081369414222515
000000000000000005b3,021903,10.188199216369775
000000000000000005b5,021906,9.315358885728866
000000000000000005bb,021908,7.3132165728469225
000000000000000005de,021909,6.215080775409382
000000000000000000c9,022001,9.919252538288935
00000000000000000141,022003,9.966081916945829
00000000000000000142,022006,10.229869015004585
0000000000000000052d,022005,13.41498643981959
0000000000000000052f,022002,9.4423990986848
00000000000000000531,022004,7.997186717903217
